
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  234,471;  214,685;  227,390;155,73631
 176,32;  238,668;  248,342;  235,906; 0,00000
 176,92;  291,294;  284,289;  287,634;209,46015
 177,52;  278,144;  273,678;  278,476;93,07475
 178,12;  263,920;  250,574;  252,668;637,45531
 178,72;  287,679;  286,257;  271,010; 0,00000
 179,32;  284,659;  277,957;  276,397; 0,00000
 179,92;  284,955;  278,048;  268,906; 0,00000
 180,52;  263,737;  255,472;  272,060;49,82588
 181,12;  285,902;  282,973;  280,948; 0,00000
 181,73;  303,586;  297,130;  301,385;151,71621
 182,33;  403,729;  407,150;  419,020;-28,82309
 182,93;  290,724;  292,139;  297,745;-25,25433
 183,53;  262,757;  257,098;  256,243; 0,00000
 184,13;  257,190;  256,641;  246,788; 0,00000
 184,73;  306,976;  315,248;  309,275; 0,00000
 185,33;  271,239;  255,659;  371,654;13,43167
 185,93;  284,022;  254,558;  391,714;21,48215
 186,53;  288,308;  276,032;  408,637; 9,25748
 187,13;  322,130;  295,136;  421,888;21,29653
 187,73;  289,741;  262,792;  393,729;20,58203
 188,33;  284,112;  257,086;  388,844;20,51173
 188,93;  302,452;  281,041;  402,241;17,66602
 189,53;  288,260;  265,238;  393,836;17,90202
 190,13;  327,424;  305,029;  418,247;19,78050
 190,73;  270,807;  235,759;  377,176;24,78331
 191,34;  308,355;  269,336;  430,126;24,26717
 191,94;  278,325;  248,071;  396,832;20,33727
 192,54;  289,051;  267,387;  422,263;13,98794
 193,14;  299,712;  282,826;  430,874;11,40591
 193,74;  313,519;  280,821;  408,223;25,66503
 194,34;  301,926;  274,063;  432,518;17,58455
 194,94;  259,138;  238,595;  390,297;13,54198
 195,54;  248,405;  221,968;  350,598;20,55280
 196,14;  265,584;  243,607;  391,911;14,81906
 196,74;  256,114;  251,808;  379,186; 3,38041
 197,34;  238,410;  215,854;  366,319;14,99057
 197,94;  268,645;  254,214;  402,177; 9,75306
 198,54;  288,498;  267,068;  437,786;12,55292
 199,14;  255,693;  232,633;  401,246;13,67628
