
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,679;  214,685;  227,390; 7,82153
 176,32;  250,033;  248,342;  235,906; 0,00000
 176,92;  290,431;  284,289;  287,634;183,65372
 177,52;  272,441;  273,678;  278,476;-25,78649
 178,12;  266,715;  250,574;  252,668;770,97728
 178,72;  279,361;  286,257;  271,010; 0,00000
 179,32;  273,782;  277,957;  276,397; 0,00000
 179,92;  277,087;  278,048;  268,906; 0,00000
 180,52;  271,093;  255,472;  272,060;94,17108
 181,12;  285,180;  282,973;  280,948; 0,00000
 181,73;  306,374;  297,130;  301,385;217,24286
 182,33;  411,107;  407,150;  419,020;33,33484
 182,93;  292,053;  292,139;  297,745;-1,53834
 183,53;  255,498;  257,098;  256,243; 0,00000
 184,13;  252,224;  256,641;  246,788; 0,00000
 184,73;  311,622;  315,248;  309,275; 0,00000
 185,33;  283,023;  255,659;  371,654;23,59072
 185,93;  289,274;  254,558;  391,714;25,31170
 186,53;  300,789;  276,032;  408,637;18,66966
 187,13;  329,552;  295,136;  421,888;27,15204
 187,73;  290,625;  262,792;  393,729;21,25722
 188,33;  282,953;  257,086;  388,844;19,63258
 188,93;  303,415;  281,041;  402,241;18,46011
 189,53;  292,853;  265,238;  393,836;21,47388
 190,13;  353,606;  305,029;  418,247;42,90555
 190,73;  285,000;  235,759;  377,176;34,81994
 191,34;  312,211;  269,336;  430,126;26,66502
 191,94;  284,485;  248,071;  396,832;24,47830
 192,54;  301,612;  267,387;  422,263;22,09849
 193,14;  319,900;  282,826;  430,874;25,04159
 193,74;  320,886;  280,821;  408,223;31,44769
 194,34;  303,441;  274,063;  432,518;18,54070
 194,94;  267,204;  238,595;  390,297;18,85886
 195,54;  247,301;  221,968;  350,598;19,69425
 196,14;  272,482;  243,607;  391,911;19,46986
 196,74;  271,375;  251,808;  379,186;15,36081
 197,34;  234,365;  215,854;  366,319;12,30203
 197,94;  277,518;  254,214;  402,177;15,75020
 198,54;  294,231;  267,068;  437,786;15,91069
 199,14;  256,946;  232,633;  401,246;14,41990
