
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  227,219;  214,685;  227,390;98,66147
 176,32;  240,140;  248,342;  235,906; 0,00000
 176,92;  298,590;  284,289;  287,634;427,64099
 177,52;  280,525;  273,678;  278,476;142,69781
 178,12;  256,159;  250,574;  252,668;266,76013
 178,72;  284,995;  286,257;  271,010; 0,00000
 179,32;  271,586;  277,957;  276,397; 0,00000
 179,92;  279,330;  278,048;  268,906; 0,00000
 180,52;  264,361;  255,472;  272,060;53,58702
 181,12;  291,798;  282,973;  280,948; 0,00000
 181,73;  306,268;  297,130;  301,385;214,74346
 182,33;  418,367;  407,150;  419,020;94,50569
 182,93;  288,385;  292,139;  297,745;-66,97634
 183,53;  250,165;  257,098;  256,243; 0,00000
 184,13;  254,486;  256,641;  246,788; 0,00000
 184,73;  320,677;  315,248;  309,275; 0,00000
 185,33;  290,556;  255,659;  371,654;30,08491
 185,93;  282,781;  254,558;  391,714;20,57761
 186,53;  304,971;  276,032;  408,637;21,82318
 187,13;  319,382;  295,136;  421,888;19,12880
 187,73;  295,468;  262,792;  393,729;24,95528
 188,33;  293,061;  257,086;  388,844;27,30404
 188,93;  299,587;  281,041;  402,241;15,30149
 189,53;  296,941;  265,238;  393,836;24,65252
 190,13;  332,914;  305,029;  418,247;24,62966
 190,73;  275,416;  235,759;  377,176;28,04264
 191,34;  312,767;  269,336;  430,126;27,01106
 191,94;  295,513;  248,071;  396,832;31,89152
 192,54;  297,190;  267,387;  422,263;19,24318
 193,14;  315,283;  282,826;  430,874;21,92328
 193,74;  298,132;  280,821;  408,223;13,58734
 194,34;  317,684;  274,063;  432,518;27,52912
 194,94;  272,143;  238,595;  390,297;22,11477
 195,54;  249,790;  221,968;  350,598;21,62955
 196,14;  276,823;  243,607;  391,911;22,39714
 196,74;  273,005;  251,808;  379,186;16,64062
 197,34;  246,960;  215,854;  366,319;20,67289
 197,94;  272,477;  254,214;  402,177;12,34269
 198,54;  288,269;  267,068;  437,786;12,41833
 199,14;  256,292;  232,633;  401,246;14,03177
