
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  212,328;  190,132;  200,215;220,12503
 176,32;  236,097;  212,537;  209,398; 0,00000
 176,92;  266,682;  240,523;  246,931;408,23856
 177,52;  262,488;  243,597;  254,355;175,61050
 178,12;  236,436;  229,152;  207,303; 0,00000
 178,72;  265,197;  252,849;  232,799; 0,00000
 179,32;  251,241;  249,076;  237,582; 0,00000
 179,92;  259,719;  243,991;  238,830; 0,00000
 180,52;  245,815;  222,275;  238,585;144,32986
 181,12;  259,531;  236,989;  245,544;263,49047
 181,73;  286,470;  259,218;  261,188;1383,67070
 182,33;  378,075;  305,438;  322,048;437,30648
 182,93;  277,372;  251,829;  260,704;287,79606
 183,53;  233,465;  236,468;  216,997; 0,00000
 184,13;  247,859;  228,696;  220,426; 0,00000
 184,73;  294,034;  247,009;  263,987;276,97030
 185,33;  261,854;  224,819;  337,237;32,94360
 185,93;  261,902;  231,218;  359,575;23,90492
 186,53;  286,139;  237,595;  371,083;36,36573
 187,13;  310,402;  258,195;  387,732;40,30289
 187,73;  271,649;  232,293;  353,715;32,41243
 188,33;  270,680;  239,916;  359,018;25,82972
 188,93;  284,979;  237,096;  368,697;36,38489
 189,53;  274,058;  240,347;  374,027;25,21756
 190,13;  309,249;  274,917;  385,268;31,11178
 190,73;  256,081;  201,818;  356,279;35,13064
 191,34;  288,473;  254,488;  376,301;27,89959
 191,94;  265,007;  222,464;  351,126;33,06609
 192,54;  292,017;  242,799;  376,716;36,75284
 193,14;  302,041;  249,273;  382,739;39,53679
 193,74;  298,196;  238,353;  370,742;45,20242
 194,34;  284,918;  224,347;  384,949;37,71533
 194,94;  246,925;  207,658;  347,012;28,17794
 195,54;  238,414;  208,665;  323,556;25,89320
 196,14;  262,160;  221,266;  358,142;29,87687
 196,74;  238,383;  217,360;  326,346;19,28910
 197,34;  223,961;  188,411;  346,648;22,46663
 197,94;  255,000;  216,810;  380,939;23,26817
 198,54;  275,535;  223,882;  380,248;33,03354
 199,14;  239,238;  208,790;  385,271;17,25308
