
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  214,198;  190,132;  200,215;238,67336
 176,32;  241,843;  212,537;  209,398; 0,00000
 176,92;  279,384;  240,523;  246,931;606,45999
 177,52;  271,240;  243,597;  254,355;256,96516
 178,12;  252,761;  229,152;  207,303; 0,00000
 178,72;  276,312;  252,849;  232,799; 0,00000
 179,32;  263,214;  249,076;  237,582; 0,00000
 179,92;  271,787;  243,991;  238,830; 0,00000
 180,52;  257,617;  222,275;  238,585;216,69256
 181,12;  271,902;  236,989;  245,544;408,09594
 181,73;  287,316;  259,218;  261,188;1426,63931
 182,33;  399,281;  305,438;  322,048;564,97627
 182,93;  287,032;  251,829;  260,704;396,63554
 183,53;  259,271;  236,468;  216,997; 0,00000
 184,13;  252,579;  228,696;  220,426; 0,00000
 184,73;  294,863;  247,009;  263,987;281,85237
 185,33;  269,895;  224,819;  337,237;40,09721
 185,93;  268,889;  231,218;  359,575;29,34897
 186,53;  287,525;  237,595;  371,083;37,40430
 187,13;  309,977;  258,195;  387,732;39,97510
 187,73;  274,588;  232,293;  353,715;34,83293
 188,33;  277,821;  239,916;  359,018;31,82575
 188,93;  280,479;  237,096;  368,697;32,96561
 189,53;  278,924;  240,347;  374,027;28,85804
 190,13;  314,768;  274,917;  385,268;36,11254
 190,73;  265,342;  201,818;  356,279;41,12615
 191,34;  289,589;  254,488;  376,301;28,81585
 191,94;  272,857;  222,464;  351,126;39,16695
 192,54;  283,879;  242,799;  376,716;30,67592
 193,14;  300,079;  249,273;  382,739;38,06657
 193,74;  302,169;  238,353;  370,742;48,20371
 194,34;  295,368;  224,347;  384,949;44,22189
 194,94;  263,564;  207,658;  347,012;40,11783
 195,54;  239,030;  208,665;  323,556;26,42989
 196,14;  262,246;  221,266;  358,142;29,93909
 196,74;  261,203;  217,360;  326,346;40,22776
 197,34;  231,770;  188,411;  346,648;27,40145
 197,94;  257,058;  216,810;  380,939;24,52247
 198,54;  277,001;  223,882;  380,248;33,97119
 199,14;  251,319;  208,790;  385,271;24,09829
