
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  229,032;  214,685;  227,390;112,92963
 176,32;  250,718;  248,342;  235,906; 0,00000
 176,92;  286,828;  284,289;  287,634;75,90699
 177,52;  285,716;  273,678;  278,476;250,90095
 178,12;  253,646;  250,574;  252,668;146,69852
 178,72;  291,585;  286,257;  271,010; 0,00000
 179,32;  278,781;  277,957;  276,397; 0,00000
 179,92;  276,609;  278,048;  268,906; 0,00000
 180,52;  263,821;  255,472;  272,060;50,33211
 181,12;  287,743;  282,973;  280,948; 0,00000
 181,73;  306,642;  297,130;  301,385;223,52689
 182,33;  404,834;  407,150;  419,020;-19,50866
 182,93;  300,659;  292,139;  297,745;151,98556
 183,53;  249,274;  257,098;  256,243; 0,00000
 184,13;  249,157;  256,641;  246,788; 0,00000
 184,73;  311,140;  315,248;  309,275; 0,00000
 185,33;  285,465;  255,659;  371,654;25,69574
 185,93;  281,884;  254,558;  391,714;19,92366
 186,53;  309,083;  276,032;  408,637;24,92419
 187,13;  318,894;  295,136;  421,888;18,74390
 187,73;  300,302;  262,792;  393,729;28,64721
 188,33;  290,353;  257,086;  388,844;25,24867
 188,93;  301,594;  281,041;  402,241;16,95754
 189,53;  295,779;  265,238;  393,836;23,74940
 190,13;  322,277;  305,029;  418,247;15,23479
 190,73;  286,216;  235,759;  377,176;35,67965
 191,34;  312,760;  269,336;  430,126;27,00661
 191,94;  296,275;  248,071;  396,832;32,40342
 192,54;  299,948;  267,387;  422,263;21,02381
 193,14;  309,900;  282,826;  430,874;18,28711
 193,74;  317,954;  280,821;  408,223;29,14586
 194,34;  310,773;  274,063;  432,518;23,16784
 194,94;  274,765;  238,595;  390,297;23,84313
 195,54;  258,532;  221,968;  350,598;28,42561
 196,14;  281,234;  243,607;  391,911;25,37128
 196,74;  270,582;  251,808;  379,186;14,73826
 197,34;  254,884;  215,854;  366,319;25,93925
 197,94;  281,904;  254,214;  402,177;18,71407
 198,54;  290,065;  267,068;  437,786;13,47076
 199,14;  255,040;  232,633;  401,246;13,28945
