
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  224,740;  214,685;  227,390;79,14539
 176,32;  249,125;  248,342;  235,906; 0,00000
 176,92;  287,425;  284,289;  287,634;93,76559
 177,52;  274,695;  273,678;  278,476;21,19029
 178,12;  256,768;  250,574;  252,668;295,82262
 178,72;  284,849;  286,257;  271,010; 0,00000
 179,32;  284,647;  277,957;  276,397; 0,00000
 179,92;  278,478;  278,048;  268,906; 0,00000
 180,52;  264,924;  255,472;  272,060;56,98111
 181,12;  276,116;  282,973;  280,948; 0,00000
 181,73;  296,298;  297,130;  301,385;-19,56015
 182,33;  426,296;  407,150;  419,020;161,29841
 182,93;  298,091;  292,139;  297,745;106,16841
 183,53;  260,370;  257,098;  256,243; 0,00000
 184,13;  266,799;  256,641;  246,788; 0,00000
 184,73;  313,083;  315,248;  309,275; 0,00000
 185,33;  268,710;  255,659;  371,654;11,25108
 185,93;  285,618;  254,558;  391,714;22,64606
 186,53;  298,357;  276,032;  408,637;16,83508
 187,13;  318,097;  295,136;  421,888;18,11491
 187,73;  289,174;  262,792;  393,729;20,14847
 188,33;  281,677;  257,086;  388,844;18,66394
 188,93;  303,527;  281,041;  402,241;18,55266
 189,53;  284,813;  265,238;  393,836;15,22167
 190,13;  335,963;  305,029;  418,247;27,32292
 190,73;  270,250;  235,759;  377,176;24,38934
 191,34;  312,316;  269,336;  430,126;26,73052
 191,94;  283,416;  248,071;  396,832;23,75992
 192,54;  312,265;  267,387;  422,263;28,97699
 193,14;  309,443;  282,826;  430,874;17,97851
 193,74;  308,569;  280,821;  408,223;21,77926
 194,34;  304,730;  274,063;  432,518;19,35362
 194,94;  285,762;  238,595;  390,297;31,09170
 195,54;  251,644;  221,968;  350,598;23,07085
 196,14;  271,599;  243,607;  391,911;18,87448
 196,74;  277,435;  251,808;  379,186;20,11832
 197,34;  242,920;  215,854;  366,319;17,98802
 197,94;  272,888;  254,214;  402,177;12,62110
 198,54;  293,044;  267,068;  437,786;15,21533
 199,14;  266,312;  232,633;  401,246;19,97407
