
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,730;  190,132;  200,215;263,78845
 176,32;  237,228;  212,537;  209,398; 0,00000
 176,92;  277,060;  240,523;  246,931;570,19815
 177,52;  268,167;  243,597;  254,355;228,40280
 178,12;  244,358;  229,152;  207,303; 0,00000
 178,72;  277,037;  252,849;  232,799; 0,00000
 179,32;  273,677;  249,076;  237,582; 0,00000
 179,92;  266,224;  243,991;  238,830; 0,00000
 180,52;  258,444;  222,275;  238,585;221,76045
 181,12;  271,000;  236,989;  245,544;397,54508
 181,73;  284,681;  259,218;  261,188;1292,82842
 182,33;  377,767;  305,438;  322,048;435,44982
 182,93;  270,812;  251,829;  260,704;213,88753
 183,53;  246,912;  236,468;  216,997; 0,00000
 184,13;  237,463;  228,696;  220,426; 0,00000
 184,73;  299,408;  247,009;  263,987;308,62503
 185,33;  276,316;  224,819;  337,237;45,80888
 185,93;  279,028;  231,218;  359,575;37,24796
 186,53;  293,178;  237,595;  371,083;41,63929
 187,13;  312,964;  258,195;  387,732;42,28045
 187,73;  267,987;  232,293;  353,715;29,39703
 188,33;  274,944;  239,916;  359,018;29,40977
 188,93;  286,274;  237,096;  368,697;37,36901
 189,53;  281,558;  240,347;  374,027;30,82855
 190,13;  314,526;  274,917;  385,268;35,89346
 190,73;  258,520;  201,818;  356,279;36,70955
 191,34;  300,633;  254,488;  376,301;37,88170
 191,94;  274,486;  222,464;  351,126;40,43325
 192,54;  280,292;  242,799;  376,716;27,99759
 193,14;  303,099;  249,273;  382,739;40,32953
 193,74;  284,253;  238,353;  370,742;34,67035
 194,34;  291,231;  224,347;  384,949;41,64562
 194,94;  255,667;  207,658;  347,012;34,45142
 195,54;  233,435;  208,665;  323,556;21,55984
 196,14;  259,107;  221,266;  358,142;27,64627
 196,74;  251,919;  217,360;  326,346;31,70957
 197,34;  233,489;  188,411;  346,648;28,48752
 197,94;  262,112;  216,810;  380,939;27,60146
 198,54;  270,865;  223,882;  380,248;30,04663
 199,14;  242,762;  208,790;  385,271;19,24982
