
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  226,037;  214,685;  227,390;89,35023
 176,32;  238,127;  248,342;  235,906; 0,00000
 176,92;  291,502;  284,289;  287,634;215,66434
 177,52;  282,248;  273,678;  278,476;178,60794
 178,12;  254,626;  250,574;  252,668;193,51363
 178,72;  280,194;  286,257;  271,010; 0,00000
 179,32;  274,963;  277,957;  276,397; 0,00000
 179,92;  282,572;  278,048;  268,906; 0,00000
 180,52;  265,212;  255,472;  272,060;58,71618
 181,12;  286,394;  282,973;  280,948; 0,00000
 181,73;  299,806;  297,130;  301,385;62,88001
 182,33;  404,875;  407,150;  419,020;-19,16897
 182,93;  299,130;  292,139;  297,745;124,70413
 183,53;  260,981;  257,098;  256,243; 0,00000
 184,13;  259,086;  256,641;  246,788; 0,00000
 184,73;  315,686;  315,248;  309,275; 0,00000
 185,33;  286,614;  255,659;  371,654;26,68649
 185,93;  291,486;  254,558;  391,714;26,92417
 186,53;  303,469;  276,032;  408,637;20,69016
 187,13;  318,685;  295,136;  421,888;18,57906
 187,73;  292,016;  262,792;  393,729;22,31945
 188,33;  285,762;  257,086;  388,844;21,76396
 188,93;  307,421;  281,041;  402,241;21,76534
 189,53;  301,133;  265,238;  393,836;27,91237
 190,13;  333,411;  305,029;  418,247;25,06856
 190,73;  261,009;  235,759;  377,176;17,85504
 191,34;  317,633;  269,336;  430,126;30,03737
 191,94;  288,183;  248,071;  396,832;26,96411
 192,54;  296,841;  267,387;  422,263;19,01826
 193,14;  315,007;  282,826;  430,874;21,73677
 193,74;  311,758;  280,821;  408,223;24,28261
 194,34;  303,447;  274,063;  432,518;18,54396
 194,94;  276,043;  238,595;  390,297;24,68509
 195,54;  244,641;  221,968;  350,598;17,62609
 196,14;  266,173;  243,607;  391,911;15,21626
 196,74;  276,970;  251,808;  379,186;19,75382
 197,34;  245,809;  215,854;  366,319;19,90831
 197,94;  282,517;  254,214;  402,177;19,12826
 198,54;  300,163;  267,068;  437,786;19,38559
 199,14;  253,200;  232,633;  401,246;12,19775
