
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  224,000;  214,685;  227,390;73,32211
 176,32;  248,688;  248,342;  235,906; 0,00000
 176,92;  291,098;  284,289;  287,634;203,60103
 177,52;  282,849;  273,678;  278,476;191,13279
 178,12;  262,183;  250,574;  252,668;554,50834
 178,72;  284,144;  286,257;  271,010; 0,00000
 179,32;  267,902;  277,957;  276,397; 0,00000
 179,92;  282,410;  278,048;  268,906; 0,00000
 180,52;  274,421;  255,472;  272,060;114,23172
 181,12;  281,289;  282,973;  280,948; 0,00000
 181,73;  298,869;  297,130;  301,385;40,87217
 182,33;  429,802;  407,150;  419,020;190,84258
 182,93;  303,165;  292,139;  297,745;196,69898
 183,53;  259,411;  257,098;  256,243; 0,00000
 184,13;  268,170;  256,641;  246,788; 0,00000
 184,73;  317,336;  315,248;  309,275; 0,00000
 185,33;  283,966;  255,659;  371,654;24,40305
 185,93;  285,684;  254,558;  391,714;22,69419
 186,53;  312,483;  276,032;  408,637;27,48790
 187,13;  334,037;  295,136;  421,888;30,69062
 187,73;  296,871;  262,792;  393,729;26,02705
 188,33;  290,927;  257,086;  388,844;25,68460
 188,93;  299,653;  281,041;  402,241;15,35623
 189,53;  297,324;  265,238;  393,836;24,95020
 190,13;  329,763;  305,029;  418,247;21,84606
 190,73;  266,988;  235,759;  377,176;22,08307
 191,34;  317,846;  269,336;  430,126;30,16947
 191,94;  292,292;  248,071;  396,832;29,72608
 192,54;  297,449;  267,387;  422,263;19,41025
 193,14;  314,371;  282,826;  430,874;21,30743
 193,74;  318,476;  280,821;  408,223;29,55549
 194,34;  316,455;  274,063;  432,518;26,75319
 194,94;  275,611;  238,595;  390,297;24,40050
 195,54;  249,982;  221,968;  350,598;21,77877
 196,14;  265,965;  243,607;  391,911;15,07595
 196,74;  258,591;  251,808;  379,186; 5,32510
 197,34;  258,823;  215,854;  366,319;28,55696
 197,94;  273,370;  254,214;  402,177;12,94661
 198,54;  296,102;  267,068;  437,786;17,00683
 199,14;  267,947;  232,633;  401,246;20,94427
