
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  220,124;  190,132;  200,215;297,43877
 176,32;  236,461;  212,537;  209,398; 0,00000
 176,92;  288,155;  240,523;  246,931;743,34500
 177,52;  272,978;  243,597;  254,355;273,12712
 178,12;  249,416;  229,152;  207,303; 0,00000
 178,72;  278,848;  252,849;  232,799; 0,00000
 179,32;  271,598;  249,076;  237,582; 0,00000
 179,92;  272,170;  243,991;  238,830; 0,00000
 180,52;  257,526;  222,275;  238,585;216,13774
 181,12;  277,431;  236,989;  245,544;472,72545
 181,73;  288,778;  259,218;  261,188;1500,85899
 182,33;  394,768;  305,438;  322,048;537,80814
 182,93;  291,603;  251,829;  260,704;448,13536
 183,53;  243,428;  236,468;  216,997; 0,00000
 184,13;  253,720;  228,696;  220,426; 0,00000
 184,73;  301,049;  247,009;  263,987;318,28651
 185,33;  268,030;  224,819;  337,237;38,43794
 185,93;  271,542;  231,218;  359,575;31,41557
 186,53;  288,251;  237,595;  371,083;37,94785
 187,13;  307,933;  258,195;  387,732;38,39665
 187,73;  275,956;  232,293;  353,715;35,95987
 188,33;  280,872;  239,916;  359,018;34,38725
 188,93;  283,333;  237,096;  368,697;35,13449
 189,53;  286,268;  240,347;  374,027;34,35130
 190,13;  315,760;  274,917;  385,268;37,01219
 190,73;  265,026;  201,818;  356,279;40,92179
 191,34;  309,769;  254,488;  376,301;45,38210
 191,94;  277,097;  222,464;  351,126;42,46281
 192,54;  294,248;  242,799;  376,716;38,41875
 193,14;  314,193;  249,273;  382,739;48,64113
 193,74;  302,994;  238,353;  370,742;48,82659
 194,34;  293,885;  224,347;  384,949;43,29863
 194,94;  255,356;  207,658;  347,012;34,22770
 195,54;  226,815;  208,665;  323,556;15,79781
 196,14;  252,775;  221,266;  358,142;23,01999
 196,74;  251,199;  217,360;  326,346;31,04879
 197,34;  229,232;  188,411;  346,648;25,79730
 197,94;  260,034;  216,810;  380,939;26,33574
 198,54;  279,989;  223,882;  380,248;35,88180
 199,14;  248,348;  208,790;  385,271;22,41474
