
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  220,437;  214,685;  227,390;45,27444
 176,32;  241,803;  248,342;  235,906; 0,00000
 176,92;  297,305;  284,289;  287,634;389,21854
 177,52;  283,470;  273,678;  278,476;204,08815
 178,12;  254,461;  250,574;  252,668;185,65307
 178,72;  280,586;  286,257;  271,010; 0,00000
 179,32;  276,016;  277,957;  276,397; 0,00000
 179,92;  275,387;  278,048;  268,906; 0,00000
 180,52;  263,678;  255,472;  272,060;49,46754
 181,12;  276,591;  282,973;  280,948; 0,00000
 181,73;  307,962;  297,130;  301,385;254,54588
 182,33;  420,417;  407,150;  419,020;111,77638
 182,93;  296,168;  292,139;  297,745;71,86959
 183,53;  265,893;  257,098;  256,243; 0,00000
 184,13;  265,840;  256,641;  246,788; 0,00000
 184,73;  318,941;  315,248;  309,275; 0,00000
 185,33;  288,990;  255,659;  371,654;28,73447
 185,93;  290,611;  254,558;  391,714;26,28596
 186,53;  311,118;  276,032;  408,637;26,45858
 187,13;  332,322;  295,136;  421,888;29,33756
 187,73;  286,053;  262,792;  393,729;17,76488
 188,33;  283,628;  257,086;  388,844;20,14444
 188,93;  290,887;  281,041;  402,241; 8,12381
 189,53;  286,704;  265,238;  393,836;16,69232
 190,13;  327,909;  305,029;  418,247;20,20906
 190,73;  272,168;  235,759;  377,176;25,74580
 191,34;  301,452;  269,336;  430,126;19,97354
 191,94;  289,811;  248,071;  396,832;28,05838
 192,54;  304,488;  267,387;  422,263;23,95551
 193,14;  306,638;  282,826;  430,874;16,08424
 193,74;  308,171;  280,821;  408,223;21,46740
 194,34;  309,380;  274,063;  432,518;22,28817
 194,94;  276,259;  238,595;  390,297;24,82790
 195,54;  244,861;  221,968;  350,598;17,79747
 196,14;  262,085;  243,607;  391,911;12,45938
 196,74;  262,043;  251,808;  379,186; 8,03501
 197,34;  242,673;  215,854;  366,319;17,82377
 197,94;  272,276;  254,214;  402,177;12,20687
 198,54;  295,682;  267,068;  437,786;16,76094
 199,14;  265,707;  232,633;  401,246;19,61584
