
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,962;  207,672;  215,673;16,12541
 176,32;  244,138;  238,424;  241,025;219,63613
 176,92;  280,045;  272,128;  266,109; 0,00000
 177,52;  272,417;  265,361;  267,675;304,89064
 178,12;  253,173;  258,117;  238,311; 0,00000
 178,72;  282,582;  276,958;  258,525; 0,00000
 179,32;  267,351;  279,578;  258,748; 0,00000
 179,92;  268,110;  269,431;  262,806; 0,00000
 180,52;  265,410;  254,297;  261,455;155,24430
 181,12;  265,993;  273,355;  266,130; 0,00000
 181,73;  298,116;  284,895;  277,919; 0,00000
 182,33;  384,154;  381,443;  397,957;16,41602
 182,93;  282,425;  280,130;  286,949;33,64918
 183,53;  255,456;  255,340;  247,813; 0,00000
 184,13;  259,068;  242,804;  237,845; 0,00000
 184,73;  297,067;  293,338;  296,892;104,92007
 185,33;  290,707;  261,312;  361,143;29,44491
 185,93;  292,235;  243,376;  381,547;35,36138
 186,53;  316,438;  260,229;  410,327;37,44798
 187,13;  333,570;  280,704;  420,213;37,89411
 187,73;  302,350;  257,224;  382,447;36,03660
 188,33;  309,540;  249,678;  381,863;45,28630
 188,93;  317,431;  263,040;  387,891;43,56476
 189,53;  314,744;  261,946;  380,542;44,51923
 190,13;  366,102;  304,841;  423,007;51,84365
 190,73;  307,152;  226,937;  387,302;50,02031
 191,34;  331,913;  266,803;  406,760;46,52139
 191,94;  317,344;  249,363;  387,164;49,33263
 192,54;  321,933;  271,253;  415,221;35,20261
 193,14;  327,900;  271,395;  415,304;39,26460
 193,74;  317,767;  275,854;  398,242;34,24586
 194,34;  313,454;  265,090;  415,805;32,08935
 194,94;  275,985;  230,318;  367,347;33,32678
 195,54;  252,187;  226,774;  345,997;21,31548
 196,14;  270,896;  238,863;  381,829;22,40643
 196,74;  271,787;  237,002;  371,341;25,89363
 197,34;  260,777;  212,871;  367,061;31,06984
 197,94;  284,288;  246,858;  398,110;24,74695
 198,54;  306,417;  250,016;  414,320;34,32730
 199,14;  269,454;  227,106;  389,582;26,06401
