
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,690;  198,885;  194,139; 0,00000
 176,32;  226,603;  212,577;  214,894;605,31969
 176,92;  263,301;  235,808;  244,072;332,67646
 177,52;  269,029;  242,038;  254,270;220,65484
 178,12;  237,524;  232,038;  214,800; 0,00000
 178,72;  261,035;  256,423;  239,900; 0,00000
 179,32;  264,659;  236,500;  245,616;308,90389
 179,92;  259,275;  240,192;  244,573;435,65032
 180,52;  255,600;  221,269;  247,993;128,46369
 181,12;  259,922;  239,115;  248,829;214,20326
 181,73;  287,365;  260,038;  272,399;221,07537
 182,33;  367,909;  313,423;  327,745;380,42618
 182,93;  272,869;  247,885;  257,773;252,66130
 183,53;  236,526;  238,115;  216,783; 0,00000
 184,13;  247,511;  237,731;  227,450; 0,00000
 184,73;  287,931;  250,500;  265,230;254,11442
 185,33;  291,721;  224,808;  337,380;59,44074
 185,93;  282,668;  222,192;  357,456;44,70965
 186,53;  306,571;  240,269;  368,442;51,72848
 187,13;  322,880;  264,269;  410,740;40,01533
 187,73;  294,733;  231,654;  360,523;48,94785
 188,33;  298,670;  235,038;  362,886;49,77121
 188,93;  305,401;  245,346;  364,048;50,59339
 189,53;  309,481;  247,423;  379,952;46,82598
 190,13;  352,900;  267,192;  399,816;64,62505
 190,73;  299,291;  217,115;  348,335;62,62441
 191,34;  319,197;  241,885;  382,405;55,01856
 191,94;  295,727;  238,885;  363,129;45,75052
 192,54;  311,906;  244,269;  382,672;48,86945
 193,14;  312,597;  258,423;  381,975;43,84726
 193,74;  320,402;  249,577;  378,895;54,76797
 194,34;  307,714;  246,115;  391,808;42,27982
 194,94;  268,283;  208,885;  348,554;42,52787
 195,54;  251,468;  211,962;  329,008;33,75263
 196,14;  274,404;  214,115;  355,392;42,67444
 196,74;  270,120;  219,269;  350,867;38,64119
 197,34;  255,617;  193,346;  344,458;41,20874
 197,94;  288,389;  227,500;  369,717;42,81445
 198,54;  293,845;  221,731;  381,114;45,24594
 199,14;  273,946;  198,423;  392,861;38,84180
