
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  214,582;  211,117;  215,673;76,06472
 176,32;  245,722;  252,041;  241,025; 0,00000
 176,92;  285,251;  291,656;  266,109; 0,00000
 177,52;  271,115;  273,732;  267,675; 0,00000
 178,12;  246,925;  258,425;  238,311; 0,00000
 178,72;  278,479;  288,810;  258,525; 0,00000
 179,32;  275,326;  270,810;  258,748; 0,00000
 179,92;  266,832;  275,579;  262,806; 0,00000
 180,52;  256,472;  257,347;  261,455;-21,30711
 181,12;  263,447;  270,502;  266,130; 0,00000
 181,73;  296,965;  299,271;  277,919; 0,00000
 182,33;  403,377;  414,655;  397,957; 0,00000
 182,93;  286,608;  297,963;  286,949; 0,00000
 183,53;  246,292;  259,734;  247,813; 0,00000
 184,13;  252,290;  261,503;  237,845; 0,00000
 184,73;  293,878;  313,426;  296,892; 0,00000
 185,33;  286,391;  256,201;  361,143;28,76798
 185,93;  289,331;  265,279;  381,547;20,68650
 186,53;  302,980;  269,125;  410,327;23,97617
 187,13;  314,993;  288,431;  420,213;20,15562
 187,73;  285,125;  261,433;  382,447;19,57858
 188,33;  290,123;  248,971;  381,863;30,96608
 188,93;  302,739;  275,357;  387,891;24,33195
 189,53;  295,586;  267,128;  380,542;25,09228
 190,13;  344,025;  306,437;  423,007;32,24544
 190,73;  276,215;  242,897;  387,302;23,07271
 191,34;  304,597;  282,358;  406,760;17,87732
 191,94;  290,786;  260,203;  387,164;24,08854
 192,54;  299,339;  263,662;  415,221;23,54042
 193,14;  307,059;  284,047;  415,304;17,53221
 193,74;  301,072;  288,970;  398,242;11,07540
 194,34;  302,095;  277,662;  415,805;17,68691
 194,94;  273,552;  241,662;  367,347;25,37253
 195,54;  235,198;  213,278;  345,997;16,51606
 196,14;  276,955;  250,047;  381,829;20,41877
 196,74;  263,469;  250,124;  371,341;11,00920
 197,34;  236,826;  219,738;  367,061;11,59863
 197,94;  266,062;  246,355;  398,110;12,98621
 198,54;  283,866;  260,124;  414,320;15,39782
 199,14;  259,611;  233,738;  389,582;16,60170
