
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  195,098;  198,885;  194,139; 0,00000
 176,32;  211,672;  212,577;  214,894;-39,03305
 176,92;  244,588;  235,808;  244,072;106,24105
 177,52;  257,877;  242,038;  254,270;129,48323
 178,12;  231,812;  232,038;  214,800; 0,00000
 178,72;  264,504;  256,423;  239,900; 0,00000
 179,32;  259,352;  236,500;  245,616;250,68401
 179,92;  249,757;  240,192;  244,573;218,34463
 180,52;  244,086;  221,269;  247,993;85,38003
 181,12;  254,471;  239,115;  248,829;158,08689
 181,73;  269,326;  260,038;  272,399;75,13732
 182,33;  323,465;  313,423;  327,745;70,11702
 182,93;  258,134;  247,885;  257,773;103,64920
 183,53;  237,268;  238,115;  216,783; 0,00000
 184,13;  224,620;  237,731;  227,450; 0,00000
 184,73;  264,428;  250,500;  265,230;94,55458
 185,33;  279,684;  224,808;  337,380;48,74737
 185,93;  268,769;  222,192;  357,456;34,43429
 186,53;  286,161;  240,269;  368,442;35,80474
 187,13;  311,201;  264,269;  410,740;32,04166
 187,73;  279,367;  231,654;  360,523;37,02439
 188,33;  287,540;  235,038;  362,886;41,06572
 188,93;  289,884;  245,346;  364,048;37,52042
 189,53;  296,328;  247,423;  379,952;36,90146
 190,13;  333,315;  267,192;  399,816;49,85733
 190,73;  267,865;  217,115;  348,335;38,67558
 191,34;  305,542;  241,885;  382,405;45,30133
 191,94;  269,291;  238,885;  363,129;24,47323
 192,54;  291,661;  244,269;  382,672;34,24166
 193,14;  306,012;  258,423;  381,975;38,51748
 193,74;  288,442;  249,577;  378,895;30,05379
 194,34;  288,183;  246,115;  391,808;28,87444
 194,94;  250,885;  208,885;  348,554;30,07091
 195,54;  235,195;  211,962;  329,008;19,84957
 196,14;  256,791;  214,115;  355,392;30,20685
 196,74;  238,024;  219,269;  350,867;14,25125
 197,34;  235,435;  193,346;  344,458;27,85254
 197,94;  267,661;  227,500;  369,717;28,23957
 198,54;  267,163;  221,731;  381,114;28,50479
 199,14;  263,460;  198,423;  392,861;33,44894
