
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  223,931;  207,672;  215,673;203,22985
 176,32;  239,308;  238,424;  241,025;33,98016
 176,92;  282,596;  272,128;  266,109; 0,00000
 177,52;  270,366;  265,361;  267,675;216,25752
 178,12;  256,501;  258,117;  238,311; 0,00000
 178,72;  288,188;  276,958;  258,525; 0,00000
 179,32;  278,444;  279,578;  258,748; 0,00000
 179,92;  270,089;  269,431;  262,806; 0,00000
 180,52;  256,588;  254,297;  261,455;32,00615
 181,12;  281,057;  273,355;  266,130; 0,00000
 181,73;  295,881;  284,895;  277,919; 0,00000
 182,33;  382,442;  381,443;  397,957; 6,04422
 182,93;  298,757;  280,130;  286,949;273,16413
 183,53;  248,355;  255,340;  247,813; 0,00000
 184,13;  254,289;  242,804;  237,845; 0,00000
 184,73;  309,183;  293,338;  296,892;445,81863
 185,33;  300,896;  261,312;  361,143;39,65128
 185,93;  298,964;  243,376;  381,547;40,23121
 186,53;  323,284;  260,229;  410,327;42,00905
 187,13;  343,344;  280,704;  420,213;44,90009
 187,73;  290,012;  257,224;  382,447;26,18412
 188,33;  311,853;  249,678;  381,863;47,03595
 188,93;  330,532;  263,040;  387,891;54,05761
 189,53;  323,203;  261,946;  380,542;51,65139
 190,13;  357,470;  304,841;  423,007;44,53790
 190,73;  290,634;  226,937;  387,302;39,71982
 191,34;  322,359;  266,803;  406,760;39,69496
 191,94;  314,150;  249,363;  387,164;47,01476
 192,54;  321,691;  271,253;  415,221;35,03412
 193,14;  323,590;  271,395;  415,304;36,26917
 193,74;  326,980;  275,854;  398,242;41,77393
 194,34;  318,777;  265,090;  415,805;35,62125
 194,94;  286,519;  230,318;  367,347;41,01420
 195,54;  258,687;  226,774;  345,997;26,76786
 196,14;  287,237;  238,863;  381,829;33,83627
 196,74;  277,884;  237,002;  371,341;30,43247
 197,34;  267,014;  212,871;  367,061;35,11486
 197,94;  282,218;  246,858;  398,110;23,37839
 198,54;  302,527;  250,016;  414,320;31,95951
 199,14;  278,103;  227,106;  389,582;31,38738
