
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,812;  211,117;  215,673;-50,59171
 176,32;  238,248;  252,041;  241,025; 0,00000
 176,92;  286,199;  291,656;  266,109; 0,00000
 177,52;  279,864;  273,732;  267,675; 0,00000
 178,12;  252,149;  258,425;  238,311; 0,00000
 178,72;  278,496;  288,810;  258,525; 0,00000
 179,32;  270,075;  270,810;  258,748; 0,00000
 179,92;  271,875;  275,579;  262,806; 0,00000
 180,52;  267,756;  257,347;  261,455;253,35673
 181,12;  281,255;  270,502;  266,130; 0,00000
 181,73;  296,653;  299,271;  277,919; 0,00000
 182,33;  406,593;  414,655;  397,957; 0,00000
 182,93;  296,711;  297,963;  286,949; 0,00000
 183,53;  258,833;  259,734;  247,813; 0,00000
 184,13;  253,747;  261,503;  237,845; 0,00000
 184,73;  302,842;  313,426;  296,892; 0,00000
 185,33;  281,986;  256,201;  361,143;24,57081
 185,93;  288,075;  265,279;  381,547;19,60680
 186,53;  315,394;  269,125;  410,327;32,76834
 187,13;  330,609;  288,431;  420,213;32,00566
 187,73;  297,549;  261,433;  382,447;29,84466
 188,33;  304,692;  248,971;  381,863;41,92952
 188,93;  300,783;  275,357;  387,891;22,59355
 189,53;  301,525;  267,128;  380,542;30,32868
 190,13;  342,079;  306,437;  423,007;30,57614
 190,73;  282,445;  242,897;  387,302;27,38686
 191,34;  333,232;  282,358;  406,760;40,89490
 191,94;  299,588;  260,203;  387,164;31,02133
 192,54;  310,723;  263,662;  415,221;31,05104
 193,14;  317,903;  284,047;  415,304;25,79346
 193,74;  313,085;  288,970;  398,242;22,06899
 194,34;  306,621;  277,662;  415,805;20,96299
 194,94;  287,596;  241,662;  367,347;36,54676
 195,54;  247,868;  213,278;  345,997;26,06281
 196,14;  287,455;  250,047;  381,829;28,38695
 196,74;  275,150;  250,124;  371,341;20,64515
 197,34;  260,268;  219,738;  367,061;27,51096
 197,94;  274,646;  246,355;  398,110;18,64279
 198,54;  291,975;  260,124;  414,320;20,65638
 199,14;  266,615;  233,738;  389,582;21,09607
