
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,948;  207,672;  215,673;115,94357
 176,32;  236,004;  238,424;  241,025;-93,00030
 176,92;  275,164;  272,128;  266,109; 0,00000
 177,52;  276,075;  265,361;  267,675;462,97324
 178,12;  252,954;  258,117;  238,311; 0,00000
 178,72;  279,167;  276,958;  258,525; 0,00000
 179,32;  260,512;  279,578;  258,748; 0,00000
 179,92;  275,273;  269,431;  262,806; 0,00000
 180,52;  271,925;  254,297;  261,455;246,26525
 181,12;  274,574;  273,355;  266,130; 0,00000
 181,73;  303,257;  284,895;  277,919; 0,00000
 182,33;  407,830;  381,443;  397,957;159,78395
 182,93;  303,646;  280,130;  286,949;344,85860
 183,53;  245,013;  255,340;  247,813; 0,00000
 184,13;  258,307;  242,804;  237,845; 0,00000
 184,73;  301,303;  293,338;  296,892;224,09896
 185,33;  291,376;  261,312;  361,143;30,11518
 185,93;  303,649;  243,376;  381,547;43,62216
 186,53;  318,918;  260,229;  410,327;39,10025
 187,13;  350,824;  280,704;  420,213;50,26170
 187,73;  317,223;  257,224;  382,447;47,91409
 188,33;  317,218;  249,678;  381,863;51,09456
 188,93;  317,333;  263,040;  387,891;43,48579
 189,53;  321,401;  261,946;  380,542;50,13252
 190,13;  368,887;  304,841;  423,007;54,19978
 190,73;  309,807;  226,937;  387,302;51,67578
 191,34;  343,878;  266,803;  406,760;55,07049
 191,94;  309,938;  249,363;  387,164;43,95820
 192,54;  328,350;  271,253;  415,221;39,65962
 193,14;  321,800;  271,395;  415,304;35,02582
 193,74;  316,922;  275,854;  398,242;33,55537
 194,34;  319,167;  265,090;  415,805;35,88012
 194,94;  288,217;  230,318;  367,347;42,25328
 195,54;  251,219;  226,774;  345,997;20,50338
 196,14;  292,242;  238,863;  381,829;37,33745
 196,74;  278,544;  237,002;  371,341;30,92342
 197,34;  262,533;  212,871;  367,061;32,20819
 197,94;  281,237;  246,858;  398,110;22,72939
 198,54;  302,981;  250,016;  414,320;32,23597
 199,14;  281,429;  227,106;  389,582;33,43437
