
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,838;  198,885;  194,139; 0,00000
 176,32;  229,113;  212,577;  214,894;713,64529
 176,92;  255,679;  235,808;  244,072;240,44696
 177,52;  257,701;  242,038;  254,270;128,04544
 178,12;  228,621;  232,038;  214,800; 0,00000
 178,72;  260,413;  256,423;  239,900; 0,00000
 179,32;  241,249;  236,500;  245,616;52,09559
 179,92;  246,117;  240,192;  244,573;135,24787
 180,52;  242,280;  221,269;  247,993;78,62370
 181,12;  253,096;  239,115;  248,829;143,93215
 181,73;  272,013;  260,038;  272,399;96,87641
 182,33;  341,289;  313,423;  327,745;194,56653
 182,93;  269,474;  247,885;  257,773;218,33318
 183,53;  231,784;  238,115;  216,783; 0,00000
 184,13;  242,282;  237,731;  227,450; 0,00000
 184,73;  271,821;  250,500;  265,230;144,74479
 185,33;  272,650;  224,808;  337,380;42,49907
 185,93;  291,129;  222,192;  357,456;50,96464
 186,53;  302,824;  240,269;  368,442;48,80539
 187,13;  335,329;  264,269;  410,740;48,51463
 187,73;  288,503;  231,654;  360,523;44,11381
 188,33;  292,812;  235,038;  362,886;45,18910
 188,93;  300,648;  245,346;  364,048;46,58891
 189,53;  303,684;  247,423;  379,952;42,45218
 190,13;  327,746;  267,192;  399,816;45,65844
 190,73;  277,410;  217,115;  348,335;45,94943
 191,34;  313,179;  241,885;  382,405;50,73596
 191,94;  279,110;  238,885;  363,129;32,37592
 192,54;  307,393;  244,269;  382,672;45,60852
 193,14;  311,254;  258,423;  381,975;42,76035
 193,74;  300,236;  249,577;  378,895;39,17442
 194,34;  293,319;  246,115;  391,808;32,39931
 194,94;  251,797;  208,885;  348,554;30,72404
 195,54;  254,140;  211,962;  329,008;36,03533
 196,14;  264,501;  214,115;  355,392;35,66421
 196,74;  262,767;  219,269;  350,867;33,05384
 197,34;  242,824;  193,346;  344,458;32,74235
 197,94;  268,515;  227,500;  369,717;28,83990
 198,54;  277,944;  221,731;  381,114;35,26921
 199,14;  268,574;  198,423;  392,861;36,07891
