
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  190,511;  192,633;  188,459; 0,00000
 176,32;  212,599;  209,248;  192,506; 0,00000
 176,92;  243,200;  228,171;  226,553; 0,00000
 177,52;  262,853;  238,248;  234,952; 0,00000
 178,12;  211,473;  209,786;  211,662;89,92702
 178,72;  257,403;  239,786;  229,023; 0,00000
 179,32;  238,044;  238,479;  252,002;-3,21063
 179,92;  244,487;  234,402;  227,528; 0,00000
 180,52;  235,074;  228,326;  231,902;188,69665
 181,12;  240,355;  237,325;  236,294; 0,00000
 181,73;  261,921;  256,556;  249,579; 0,00000
 182,33;  319,758;  282,710;  295,912;280,61436
 182,93;  260,633;  240,633;  250,245;208,08557
 183,53;  232,003;  224,786;  219,287; 0,00000
 184,13;  233,046;  228,632;  221,820; 0,00000
 184,73;  264,410;  239,632;  250,923;219,44066
 185,33;  258,794;  218,398;  320,011;39,75455
 185,93;  264,325;  222,090;  330,249;39,04917
 186,53;  272,983;  227,244;  334,348;42,70463
 187,13;  298,638;  258,245;  379,400;33,33981
 187,73;  267,110;  218,783;  332,548;42,48012
 188,33;  258,541;  230,167;  338,588;26,17026
 188,93;  273,944;  229,090;  342,227;39,64582
 189,53;  271,856;  229,243;  349,226;35,51570
 190,13;  309,639;  271,627;  365,959;40,29644
 190,73;  250,298;  203,012;  314,071;42,57765
 191,34;  293,353;  242,705;  352,758;46,02106
 191,94;  268,593;  221,782;  328,172;43,99942
 192,54;  294,184;  237,014;  361,237;46,02187
 193,14;  293,753;  242,629;  361,822;42,89193
 193,74;  289,496;  233,168;  350,562;47,98188
 194,34;  281,654;  233,630;  363,161;37,07526
 194,94;  238,534;  200,476;  311,346;34,32679
 195,54;  233,805;  192,091;  296,355;40,00778
 196,14;  253,675;  211,476;  326,723;36,61597
 196,74;  238,597;  199,321;  314,478;34,10608
 197,34;  219,914;  185,476;  327,226;24,29474
 197,94;  266,967;  220,706;  334,037;40,81925
 198,54;  267,812;  215,014;  350,758;38,89527
 199,14;  243,072;  207,168;  358,849;23,67022
