
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  203,537;  201,729;  206,872;35,15026
 176,32;  230,160;  218,186;  213,932; 0,00000
 176,92;  253,668;  251,189;  249,591; 0,00000
 177,52;  258,898;  249,113;  256,862;126,26035
 178,12;  235,814;  238,725;  218,250; 0,00000
 178,72;  259,967;  262,954;  247,860; 0,00000
 179,32;  247,527;  250,340;  247,043; 0,00000
 179,92;  246,089;  250,342;  243,729; 0,00000
 180,52;  239,801;  238,347;  240,736;60,86082
 181,12;  263,209;  258,034;  250,818; 0,00000
 181,73;  273,648;  272,650;  268,353; 0,00000
 182,33;  362,123;  341,884;  351,655;207,12986
 182,93;  275,597;  275,575;  267,614; 0,00000
 183,53;  239,443;  239,569;  226,246; 0,00000
 184,13;  246,299;  234,262;  230,039; 0,00000
 184,73;  284,812;  277,568;  272,393; 0,00000
 185,33;  272,459;  232,615;  345,677;35,24089
 185,93;  272,076;  245,073;  348,991;25,98501
 186,53;  292,544;  251,383;  367,173;35,54846
 187,13;  311,208;  271,464;  401,161;30,64398
 187,73;  277,047;  239,766;  346,389;34,96472
 188,33;  284,047;  238,149;  355,651;39,06136
 188,93;  288,976;  255,681;  354,167;33,80671
 189,53;  296,431;  258,060;  373,340;33,28486
 190,13;  317,876;  290,822;  407,960;23,09582
 190,73;  258,870;  217,519;  341,075;33,46714
 191,34;  292,732;  266,833;  379,465;22,99430
 191,94;  281,197;  235,608;  351,373;39,38037
 192,54;  302,239;  251,390;  369,660;42,99409
 193,14;  308,147;  263,925;  377,413;38,96646
 193,74;  300,156;  263,078;  378,201;32,20672
 194,34;  294,332;  260,310;  380,482;28,31097
 194,94;  262,462;  223,386;  339,780;33,57173
 195,54;  240,558;  203,693;  312,414;33,90808
 196,14;  266,559;  220,157;  353,619;34,76768
 196,74;  265,835;  214,922;  338,653;41,14764
 197,34;  247,175;  196,698;  319,609;41,06822
 197,94;  276,852;  237,079;  365,572;30,95313
 198,54;  275,387;  247,080;  380,114;21,27802
 199,14;  267,106;  210,546;  368,519;35,80389
