
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,193;  201,729;  206,872;125,68874
 176,32;  220,656;  218,186;  213,932; 0,00000
 176,92;  260,755;  251,189;  249,591; 0,00000
 177,52;  254,691;  249,113;  256,862;71,97963
 178,12;  240,113;  238,725;  218,250; 0,00000
 178,72;  260,195;  262,954;  247,860; 0,00000
 179,32;  255,489;  250,340;  247,043; 0,00000
 179,92;  262,841;  250,342;  243,729; 0,00000
 180,52;  250,781;  238,347;  240,736;520,46365
 181,12;  267,266;  258,034;  250,818; 0,00000
 181,73;  284,836;  272,650;  268,353; 0,00000
 182,33;  349,125;  341,884;  351,655;74,10892
 182,93;  274,329;  275,575;  267,614; 0,00000
 183,53;  242,457;  239,569;  226,246; 0,00000
 184,13;  236,308;  234,262;  230,039; 0,00000
 184,73;  274,969;  277,568;  272,393; 0,00000
 185,33;  265,759;  232,615;  345,677;29,31504
 185,93;  277,041;  245,073;  348,991;30,76246
 186,53;  289,303;  251,383;  367,173;32,74892
 187,13;  313,623;  271,464;  401,161;32,50603
 187,73;  270,050;  239,766;  346,389;28,40258
 188,33;  288,272;  238,149;  355,651;42,65731
 188,93;  292,586;  255,681;  354,167;37,47241
 189,53;  303,850;  258,060;  373,340;39,72032
 190,13;  332,879;  290,822;  407,960;35,90406
 190,73;  272,484;  217,519;  341,075;44,48578
 191,34;  302,609;  266,833;  379,465;31,76396
 191,94;  284,680;  235,608;  351,373;42,38919
 192,54;  292,849;  251,390;  369,660;35,05440
 193,14;  293,723;  263,925;  377,413;26,25624
 193,74;  285,655;  263,078;  378,201;19,61111
 194,34;  290,401;  260,310;  380,482;25,03986
 194,94;  255,515;  223,386;  339,780;27,60302
 195,54;  233,818;  203,693;  312,414;27,70914
 196,14;  258,437;  220,157;  353,619;28,68231
 196,74;  264,370;  214,922;  338,653;39,96440
 197,34;  235,821;  196,698;  319,609;31,83046
 197,94;  262,628;  237,079;  365,572;19,88310
 198,54;  280,116;  247,080;  380,114;24,83239
 199,14;  253,608;  210,546;  368,519;27,25927
