
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,506;  201,729;  206,872;53,98232
 176,32;  228,389;  218,186;  213,932; 0,00000
 176,92;  245,723;  251,189;  249,591; 0,00000
 177,52;  258,245;  249,113;  256,862;117,84494
 178,12;  223,274;  238,725;  218,250; 0,00000
 178,72;  252,828;  262,954;  247,860; 0,00000
 179,32;  261,225;  250,340;  247,043; 0,00000
 179,92;  245,931;  250,342;  243,729; 0,00000
 180,52;  246,401;  238,347;  240,736;337,13594
 181,12;  259,064;  258,034;  250,818; 0,00000
 181,73;  267,866;  272,650;  268,353; 0,00000
 182,33;  348,657;  341,884;  351,655;69,31496
 182,93;  265,126;  275,575;  267,614; 0,00000
 183,53;  242,530;  239,569;  226,246; 0,00000
 184,13;  228,104;  234,262;  230,039; 0,00000
 184,73;  270,690;  277,568;  272,393; 0,00000
 185,33;  262,078;  232,615;  345,677;26,05905
 185,93;  265,912;  245,073;  348,991;20,05289
 186,53;  283,761;  251,383;  367,173;27,96270
 187,13;  306,172;  271,464;  401,161;26,76137
 187,73;  270,524;  239,766;  346,389;28,84773
 188,33;  275,941;  238,149;  355,651;32,16297
 188,93;  278,225;  255,681;  354,167;22,89054
 189,53;  281,962;  258,060;  373,340;20,73366
 190,13;  320,618;  290,822;  407,960;25,43663
 190,73;  257,734;  217,519;  341,075;32,54817
 191,34;  288,033;  266,833;  379,465;18,82276
 191,94;  269,340;  235,608;  351,373;29,13810
 192,54;  288,589;  251,390;  369,660;31,45318
 193,14;  294,182;  263,925;  377,413;26,66124
 193,74;  282,695;  263,078;  378,201;17,04018
 194,34;  282,939;  260,310;  380,482;18,83017
 194,94;  249,679;  223,386;  339,780;22,58914
 195,54;  224,337;  203,693;  312,414;18,98863
 196,14;  257,521;  220,157;  353,619;27,99555
 196,74;  253,273;  214,922;  338,653;30,99523
 197,34;  232,720;  196,698;  319,609;29,30740
 197,94;  269,159;  237,079;  365,572;24,96589
 198,54;  275,972;  247,080;  380,114;21,71718
 199,14;  249,509;  210,546;  368,519;24,66431
