
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  195,788;  201,729;  206,872;-115,52600
 176,32;  221,957;  218,186;  213,932; 0,00000
 176,92;  254,780;  251,189;  249,591; 0,00000
 177,52;  257,141;  249,113;  256,862;103,59225
 178,12;  233,782;  238,725;  218,250; 0,00000
 178,72;  262,118;  262,954;  247,860; 0,00000
 179,32;  254,014;  250,340;  247,043; 0,00000
 179,92;  249,213;  250,342;  243,729; 0,00000
 180,52;  241,521;  238,347;  240,736;132,84354
 181,12;  259,595;  258,034;  250,818; 0,00000
 181,73;  274,535;  272,650;  268,353; 0,00000
 182,33;  352,804;  341,884;  351,655;111,76293
 182,93;  268,603;  275,575;  267,614; 0,00000
 183,53;  242,989;  239,569;  226,246; 0,00000
 184,13;  242,061;  234,262;  230,039; 0,00000
 184,73;  281,685;  277,568;  272,393; 0,00000
 185,33;  259,688;  232,615;  345,677;23,94491
 185,93;  268,058;  245,073;  348,991;22,11810
 186,53;  291,391;  251,383;  367,173;34,55259
 187,13;  310,250;  271,464;  401,161;29,90543
 187,73;  285,843;  239,766;  346,389;43,21475
 188,33;  287,125;  238,149;  355,651;41,68149
 188,93;  288,784;  255,681;  354,167;33,61150
 189,53;  300,797;  258,060;  373,340;37,07208
 190,13;  335,446;  290,822;  407,960;38,09551
 190,73;  266,622;  217,519;  341,075;39,74102
 191,34;  311,065;  266,833;  379,465;39,27154
 191,94;  276,621;  235,608;  351,373;35,42732
 192,54;  300,539;  251,390;  369,660;41,55670
 193,14;  300,541;  263,925;  377,413;32,26420
 193,74;  287,642;  263,078;  378,201;21,33684
 194,34;  284,112;  260,310;  380,482;19,80649
 194,94;  262,157;  223,386;  339,780;33,30979
 195,54;  235,418;  203,693;  312,414;29,18013
 196,14;  265,030;  220,157;  353,619;33,62194
 196,74;  254,539;  214,922;  338,653;32,01824
 197,34;  235,706;  196,698;  319,609;31,73694
 197,94;  276,442;  237,079;  365,572;30,63405
 198,54;  274,857;  247,080;  380,114;20,87911
 199,14;  255,678;  210,546;  368,519;28,56971
