
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  196,525;  194,016;  198,267;59,02528
 176,32;  218,883;  226,157;  216,647; 0,00000
 176,92;  246,155;  238,935;  251,493;57,48853
 177,52;  246,908;  246,706;  249,485; 7,26041
 178,12;  222,533;  225,696;  211,489; 0,00000
 178,72;  252,410;  254,154;  243,669; 0,00000
 179,32;  238,789;  244,772;  234,759; 0,00000
 179,92;  253,228;  235,854;  246,678;160,52254
 180,52;  236,727;  237,177;  248,539;-3,96089
 181,12;  251,648;  252,394;  240,739; 0,00000
 181,73;  278,153;  264,010;  267,931;360,66079
 182,33;  327,176;  334,018;  330,471; 0,00000
 182,93;  251,532;  255,706;  267,242;-36,18358
 183,53;  226,135;  235,536;  221,113; 0,00000
 184,13;  225,974;  232,923;  221,621; 0,00000
 184,73;  259,980;  267,843;  262,387; 0,00000
 185,33;  259,708;  228,381;  335,444;29,26032
 185,93;  274,103;  231,526;  338,041;39,97264
 186,53;  279,295;  233,454;  343,456;41,67244
 187,13;  314,559;  276,002;  395,370;32,30045
 187,73;  269,523;  221,989;  349,861;37,17293
 188,33;  271,878;  229,906;  347,126;35,80561
 188,93;  285,574;  234,351;  348,686;44,80083
 189,53;  285,915;  247,108;  354,168;36,24805
 190,13;  300,010;  273,933;  374,647;25,89241
 190,73;  260,183;  220,563;  332,411;35,42363
 191,34;  295,220;  249,269;  370,360;37,94733
 191,94;  269,386;  232,209;  334,632;36,29789
 192,54;  293,599;  246,625;  373,182;37,11633
 193,14;  287,045;  247,463;  380,421;29,77046
 193,74;  282,992;  251,538;  354,109;30,66613
 194,34;  290,902;  237,081;  364,421;42,26548
 194,94;  258,592;  214,386;  334,255;36,87876
 195,54;  234,495;  186,766;  302,244;41,33136
 196,14;  267,724;  217,698;  337,876;41,62622
 196,74;  261,638;  216,072;  339,398;36,94809
 197,34;  235,515;  191,166;  319,141;34,65438
 197,94;  267,123;  219,003;  355,312;35,30241
 198,54;  287,630;  226,698;  370,296;42,43202
 199,14;  251,876;  204,785;  349,871;32,45759
