
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  206,637;  201,729;  206,872;95,42071
 176,32;  235,136;  218,186;  213,932; 0,00000
 176,92;  259,818;  251,189;  249,591; 0,00000
 177,52;  261,503;  249,113;  256,862;159,88376
 178,12;  247,505;  238,725;  218,250; 0,00000
 178,72;  262,267;  262,954;  247,860; 0,00000
 179,32;  245,501;  250,340;  247,043; 0,00000
 179,92;  243,057;  250,342;  243,729; 0,00000
 180,52;  250,437;  238,347;  240,736;506,08127
 181,12;  252,449;  258,034;  250,818; 0,00000
 181,73;  274,169;  272,650;  268,353; 0,00000
 182,33;  353,742;  341,884;  351,655;121,36351
 182,93;  269,502;  275,575;  267,614; 0,00000
 183,53;  233,733;  239,569;  226,246; 0,00000
 184,13;  241,285;  234,262;  230,039; 0,00000
 184,73;  270,568;  277,568;  272,393; 0,00000
 185,33;  274,120;  232,615;  345,677;36,70996
 185,93;  276,090;  245,073;  348,991;29,84716
 186,53;  298,473;  251,383;  367,173;40,66833
 187,13;  324,124;  271,464;  401,161;40,60246
 187,73;  283,734;  239,766;  346,389;41,23681
 188,33;  287,965;  238,149;  355,651;42,39612
 188,93;  301,304;  255,681;  354,167;46,32398
 189,53;  295,498;  258,060;  373,340;32,47556
 190,13;  331,787;  290,822;  407,960;34,97222
 190,73;  276,103;  217,519;  341,075;47,41495
 191,34;  300,922;  266,833;  379,465;30,26604
 191,94;  286,405;  235,608;  351,373;43,87920
 192,54;  293,563;  251,390;  369,660;35,65879
 193,14;  312,328;  263,925;  377,413;42,65058
 193,74;  306,488;  263,078;  378,201;37,70772
 194,34;  295,153;  260,310;  380,482;28,99388
 194,94;  266,404;  223,386;  339,780;36,95868
 195,54;  244,547;  203,693;  312,414;37,57698
 196,14;  269,092;  220,157;  353,619;36,66572
 196,74;  253,722;  214,922;  338,653;31,35839
 197,34;  243,214;  196,698;  319,609;37,84558
 197,94;  273,857;  237,079;  365,572;28,62219
 198,54;  286,149;  247,080;  380,114;29,36761
 199,14;  259,374;  210,546;  368,519;30,90920
