
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,093;  201,729;  206,872;143,19068
 176,32;  224,728;  218,186;  213,932; 0,00000
 176,92;  255,056;  251,189;  249,591; 0,00000
 177,52;  258,168;  249,113;  256,862;116,84156
 178,12;  234,548;  238,725;  218,250; 0,00000
 178,72;  269,773;  262,954;  247,860; 0,00000
 179,32;  248,171;  250,340;  247,043; 0,00000
 179,92;  246,616;  250,342;  243,729; 0,00000
 180,52;  249,127;  238,347;  240,736;451,24659
 181,12;  258,680;  258,034;  250,818; 0,00000
 181,73;  273,529;  272,650;  268,353; 0,00000
 182,33;  350,324;  341,884;  351,655;86,37703
 182,93;  267,555;  275,575;  267,614; 0,00000
 183,53;  232,667;  239,569;  226,246; 0,00000
 184,13;  231,410;  234,262;  230,039; 0,00000
 184,73;  278,461;  277,568;  272,393; 0,00000
 185,33;  264,851;  232,615;  345,677;28,51132
 185,93;  266,642;  245,073;  348,991;20,75542
 186,53;  281,761;  251,383;  367,173;26,23540
 187,13;  306,805;  271,464;  401,161;27,24926
 187,73;  264,796;  239,766;  346,389;23,47473
 188,33;  265,295;  238,149;  355,651;23,10243
 188,93;  278,617;  255,681;  354,167;23,28854
 189,53;  279,246;  258,060;  373,340;18,37791
 190,13;  317,916;  290,822;  407,960;23,13051
 190,73;  259,382;  217,519;  341,075;33,88180
 191,34;  299,034;  266,833;  379,465;28,58945
 191,94;  267,011;  235,608;  351,373;27,12665
 192,54;  284,619;  251,390;  369,660;28,09611
 193,14;  281,338;  263,925;  377,413;15,34386
 193,74;  279,230;  263,078;  378,201;14,02994
 194,34;  285,497;  260,310;  380,482;20,95920
 194,94;  246,649;  223,386;  339,780;19,98595
 195,54;  232,344;  203,693;  312,414;26,35325
 196,14;  255,927;  220,157;  353,619;26,80144
 196,74;  242,800;  214,922;  338,653;22,53132
 197,34;  226,836;  196,698;  319,609;24,52038
 197,94;  253,224;  237,079;  365,572;12,56495
 198,54;  264,985;  247,080;  380,114;13,45888
 199,14;  244,075;  210,546;  368,519;21,22450
