
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,552;  202,783;  223,076;28,42695
 176,32;  229,410;  235,325;  233,183; 0,00000
 176,92;  271,223;  268,169;  269,200;296,04646
 177,52;  268,221;  268,091;  262,076; 0,00000
 178,12;  240,526;  257,324;  243,700; 0,00000
 178,72;  272,988;  265,095;  258,217; 0,00000
 179,32;  266,393;  268,863;  252,136; 0,00000
 179,92;  263,646;  265,631;  267,970;-84,90520
 180,52;  259,967;  242,858;  269,559;64,07614
 181,12;  275,304;  264,246;  270,140;187,60124
 181,73;  285,511;  278,015;  276,393; 0,00000
 182,33;  368,675;  376,706;  385,901;-87,33114
 182,93;  274,535;  282,630;  284,119;-543,51154
 183,53;  241,773;  252,787;  239,042; 0,00000
 184,13;  244,397;  254,095;  245,230; 0,00000
 184,73;  285,526;  287,018;  290,658;-40,99991
 185,33;  270,203;  245,652;  366,512;20,31431
 185,93;  272,824;  240,884;  362,674;26,22524
 186,53;  282,444;  262,499;  382,538;16,61586
 187,13;  312,181;  282,650;  413,897;22,50016
 187,73;  280,409;  248,500;  374,807;25,26359
 188,33;  273,719;  249,501;  377,832;18,87173
 188,93;  289,578;  266,120;  368,764;22,85346
 189,53;  292,192;  262,277;  393,555;22,78748
 190,13;  334,644;  296,435;  419,072;31,15633
 190,73;  272,556;  227,586;  359,537;34,08081
 191,34;  306,797;  271,352;  391,243;29,56451
 191,94;  284,333;  246,733;  373,358;29,69393
 192,54;  294,516;  264,572;  390,298;23,81745
 193,14;  308,044;  262,112;  410,063;31,04510
 193,74;  293,283;  267,728;  401,768;19,06545
 194,34;  290,458;  265,958;  394,183;19,10755
 194,94;  254,127;  225,420;  368,414;20,07612
 195,54;  231,379;  199,036;  342,674;22,51676
 196,14;  264,146;  234,957;  373,055;21,13618
 196,74;  247,349;  238,575;  362,324; 7,08987
 197,34;  245,298;  200,263;  355,217;29,06344
 197,94;  271,209;  232,342;  391,563;24,41052
 198,54;  273,974;  239,265;  407,700;20,60702
 199,14;  251,843;  217,032;  395,974;19,45415
