
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  211,646;  202,783;  223,076;43,67375
 176,32;  231,257;  235,325;  233,183; 0,00000
 176,92;  273,507;  268,169;  269,200;517,45774
 177,52;  266,076;  268,091;  262,076; 0,00000
 178,12;  238,128;  257,324;  243,700; 0,00000
 178,72;  257,152;  265,095;  258,217; 0,00000
 179,32;  266,856;  268,863;  252,136; 0,00000
 179,92;  261,121;  265,631;  267,970;-192,85236
 180,52;  259,100;  242,858;  269,559;60,82786
 181,12;  255,446;  264,246;  270,140;-149,29670
 181,73;  283,391;  278,015;  276,393; 0,00000
 182,33;  370,271;  376,706;  385,901;-69,97846
 182,93;  282,857;  282,630;  284,119;15,26326
 183,53;  255,068;  252,787;  239,042; 0,00000
 184,13;  259,180;  254,095;  245,230; 0,00000
 184,73;  292,637;  287,018;  290,658;154,39229
 185,33;  266,301;  245,652;  366,512;17,08523
 185,93;  267,337;  240,884;  362,674;21,72022
 186,53;  305,971;  262,499;  382,538;36,21550
 187,13;  317,733;  282,650;  413,897;26,73064
 187,73;  282,578;  248,500;  374,807;26,98062
 188,33;  277,956;  249,501;  377,832;22,17326
 188,93;  298,898;  266,120;  368,764;31,93401
 189,53;  292,024;  262,277;  393,555;22,65959
 190,13;  323,673;  296,435;  419,072;22,21045
 190,73;  274,882;  227,586;  359,537;35,84328
 191,34;  306,253;  271,352;  391,243;29,11038
 191,94;  285,111;  246,733;  373,358;30,30839
 192,54;  287,014;  264,572;  390,298;17,85012
 193,14;  292,469;  262,112;  410,063;20,51815
 193,74;  297,527;  267,728;  401,768;22,23173
 194,34;  300,512;  265,958;  394,183;26,94835
 194,94;  255,019;  225,420;  368,414;20,69983
 195,54;  236,079;  199,036;  342,674;25,78886
 196,14;  258,600;  234,957;  373,055;17,12044
 196,74;  254,882;  238,575;  362,324;13,17707
 197,34;  235,503;  200,263;  355,217;22,74178
 197,94;  261,908;  232,342;  391,563;18,56867
 198,54;  283,968;  239,265;  407,700;26,54051
 199,14;  255,722;  217,032;  395,974;21,62140
