
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  214,191;  185,479;  195,256;293,68359
 176,32;  228,528;  214,863;  213,589; 0,00000
 176,92;  261,885;  238,402;  244,147;408,73207
 177,52;  261,613;  239,171;  255,101;140,87880
 178,12;  245,862;  218,325;  215,567; 0,00000
 178,72;  266,489;  248,709;  238,776; 0,00000
 179,32;  261,357;  248,094;  241,542; 0,00000
 179,92;  259,716;  235,094;  233,146; 0,00000
 180,52;  259,436;  229,480;  243,972;206,71367
 181,12;  266,275;  244,710;  253,779;237,79045
 181,73;  286,301;  269,479;  266,724; 0,00000
 182,33;  369,436;  325,403;  327,235;2403,30458
 182,93;  278,855;  264,325;  263,605; 0,00000
 183,53;  242,399;  235,709;  223,292; 0,00000
 184,13;  247,286;  236,093;  221,711; 0,00000
 184,73;  284,424;  251,478;  257,984;506,41054
 185,33;  270,068;  223,703;  341,427;39,38498
 185,93;  283,997;  228,779;  366,740;40,02473
 186,53;  298,878;  248,010;  359,067;45,80412
 187,13;  312,596;  274,472;  411,352;27,85226
 187,73;  284,550;  238,933;  352,642;40,11735
 188,33;  293,296;  238,856;  363,204;43,78014
 188,93;  307,491;  245,547;  371,130;49,32509
 189,53;  303,805;  249,392;  378,224;42,23587
 190,13;  349,848;  273,390;  396,734;61,98790
 190,73;  279,564;  223,776;  357,743;41,64348
 191,34;  317,368;  262,315;  381,146;46,32851
 191,94;  300,048;  235,624;  353,574;54,61912
 192,54;  298,363;  242,088;  410,064;33,50177
 193,14;  303,483;  255,626;  389,518;35,74267
 193,74;  299,074;  251,934;  380,684;36,61356
 194,34;  289,918;  243,165;  382,870;33,46589
 194,94;  259,340;  214,165;  356,176;31,81121
 195,54;  254,771;  209,241;  329,743;37,78326
 196,14;  271,321;  217,550;  352,435;39,86459
 196,74;  249,797;  216,472;  355,469;23,97541
 197,34;  245,167;  190,627;  347,445;34,77903
 197,94;  276,387;  220,165;  381,711;34,80267
 198,54;  282,074;  222,703;  386,849;36,16930
 199,14;  264,320;  222,781;  387,587;25,20469
