
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  207,459;  202,783;  223,076;23,04087
 176,32;  238,535;  235,325;  233,183; 0,00000
 176,92;  269,552;  268,169;  269,200;134,12586
 177,52;  267,923;  268,091;  262,076; 0,00000
 178,12;  250,291;  257,324;  243,700; 0,00000
 178,72;  271,051;  265,095;  258,217; 0,00000
 179,32;  267,830;  268,863;  252,136; 0,00000
 179,92;  259,941;  265,631;  267,970;-243,33741
 180,52;  248,388;  242,858;  269,559;20,71035
 181,12;  275,350;  264,246;  270,140;188,38843
 181,73;  279,593;  278,015;  276,393; 0,00000
 182,33;  376,522;  376,706;  385,901;-2,00268
 182,93;  272,949;  282,630;  284,119;-650,06671
 183,53;  253,271;  252,787;  239,042; 0,00000
 184,13;  246,782;  254,095;  245,230; 0,00000
 184,73;  291,272;  287,018;  290,658;116,89566
 185,33;  276,011;  245,652;  366,512;25,11952
 185,93;  285,148;  240,884;  362,674;36,34429
 186,53;  303,554;  262,499;  382,538;34,20139
 187,13;  310,083;  282,650;  413,897;20,90147
 187,73;  282,288;  248,500;  374,807;26,75092
 188,33;  273,677;  249,501;  377,832;18,83920
 188,93;  303,206;  266,120;  368,764;36,13069
 189,53;  300,154;  262,277;  393,555;28,85266
 190,13;  340,545;  296,435;  419,072;35,96805
 190,73;  271,058;  227,586;  359,537;32,94514
 191,34;  304,082;  271,352;  391,243;27,30022
 191,94;  292,029;  246,733;  373,358;35,77171
 192,54;  303,178;  264,572;  390,298;30,70675
 193,14;  297,353;  262,112;  410,063;23,81918
 193,74;  299,162;  267,728;  401,768;23,45137
 194,34;  296,376;  265,958;  394,183;23,72282
 194,94;  252,763;  225,420;  368,414;19,12212
 195,54;  244,216;  199,036;  342,674;31,45383
 196,14;  261,451;  234,957;  373,055;19,18500
 196,74;  259,577;  238,575;  362,324;16,97137
 197,34;  239,189;  200,263;  355,217;25,12074
 197,94;  272,313;  232,342;  391,563;25,10393
 198,54;  284,131;  239,265;  407,700;26,63686
 199,14;  252,070;  217,032;  395,974;19,58095
