
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  207,839;  185,479;  195,256;228,71147
 176,32;  228,350;  214,863;  213,589; 0,00000
 176,92;  265,000;  238,402;  244,147;462,95969
 177,52;  270,891;  239,171;  255,101;199,12505
 178,12;  234,375;  218,325;  215,567; 0,00000
 178,72;  256,538;  248,709;  238,776; 0,00000
 179,32;  259,789;  248,094;  241,542; 0,00000
 179,92;  263,754;  235,094;  233,146; 0,00000
 180,52;  247,965;  229,480;  243,972;127,55526
 181,12;  260,834;  244,710;  253,779;177,79771
 181,73;  287,108;  269,479;  266,724; 0,00000
 182,33;  385,590;  325,403;  327,235;3285,00949
 182,93;  273,183;  264,325;  263,605; 0,00000
 183,53;  252,616;  235,709;  223,292; 0,00000
 184,13;  238,161;  236,093;  221,711; 0,00000
 184,73;  291,548;  251,478;  257,984;615,90388
 185,33;  283,749;  223,703;  341,427;51,00570
 185,93;  284,267;  228,779;  366,740;40,22009
 186,53;  296,594;  248,010;  359,067;43,74681
 187,13;  321,217;  274,472;  411,352;34,14999
 187,73;  288,095;  238,933;  352,642;43,23500
 188,33;  287,368;  238,856;  363,204;39,01289
 188,93;  295,196;  245,547;  371,130;39,53511
 189,53;  293,047;  249,392;  378,224;33,88575
 190,13;  333,345;  273,390;  396,734;48,60819
 190,73;  270,499;  223,776;  357,743;34,87668
 191,34;  312,039;  262,315;  381,146;41,84454
 191,94;  289,431;  235,624;  353,574;45,61817
 192,54;  304,568;  242,088;  410,064;37,19580
 193,14;  303,575;  255,626;  389,518;35,81128
 193,74;  304,437;  251,934;  380,684;40,77914
 194,34;  295,353;  243,165;  382,870;37,35575
 194,94;  260,251;  214,165;  356,176;32,45244
 195,54;  235,212;  209,241;  329,743;21,55220
 196,14;  272,161;  217,550;  352,435;40,48734
 196,74;  263,280;  216,472;  355,469;33,67586
 197,34;  238,169;  190,627;  347,445;30,31669
 197,94;  269,510;  220,165;  381,711;30,54566
 198,54;  286,445;  222,703;  386,849;38,83255
 199,14;  250,374;  222,781;  387,587;16,74286
