
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,790;  185,479;  195,256;197,52514
 176,32;  223,531;  214,863;  213,589; 0,00000
 176,92;  266,395;  238,402;  244,147;487,23343
 177,52;  263,631;  239,171;  255,101;153,54684
 178,12;  228,260;  218,325;  215,567; 0,00000
 178,72;  250,724;  248,709;  238,776; 0,00000
 179,32;  268,430;  248,094;  241,542; 0,00000
 179,92;  265,591;  235,094;  233,146; 0,00000
 180,52;  255,077;  229,480;  243,972;176,63360
 181,12;  255,000;  244,710;  253,779;113,46996
 181,73;  275,916;  269,479;  266,724; 0,00000
 182,33;  363,264;  325,403;  327,235;2066,48662
 182,93;  272,456;  264,325;  263,605; 0,00000
 183,53;  247,447;  235,709;  223,292; 0,00000
 184,13;  244,266;  236,093;  221,711; 0,00000
 184,73;  292,495;  251,478;  257,984;630,46318
 185,33;  274,362;  223,703;  341,427;43,03205
 185,93;  288,045;  228,779;  366,740;42,95837
 186,53;  302,489;  248,010;  359,067;49,05511
 187,13;  334,580;  274,472;  411,352;43,91256
 187,73;  292,211;  238,933;  352,642;46,85513
 188,33;  297,593;  238,856;  363,204;47,23611
 188,93;  298,721;  245,547;  371,130;42,34195
 189,53;  304,811;  249,392;  378,224;43,01653
 190,13;  350,467;  273,390;  396,734;62,48945
 190,73;  291,876;  223,776;  357,743;50,83338
 191,34;  325,220;  262,315;  381,146;52,93683
 191,94;  295,987;  235,624;  353,574;51,17622
 192,54;  299,260;  242,088;  410,064;34,03577
 193,14;  307,761;  255,626;  389,518;38,93821
 193,74;  296,505;  251,934;  380,684;34,61852
 194,34;  303,900;  243,165;  382,870;43,47421
 194,94;  282,280;  214,165;  356,176;47,96424
 195,54;  237,067;  209,241;  329,743;23,09120
 196,14;  268,683;  217,550;  352,435;37,90892
 196,74;  258,851;  216,472;  355,469;30,48902
 197,34;  244,836;  190,627;  347,445;34,56830
 197,94;  273,033;  220,165;  381,711;32,72660
 198,54;  278,505;  222,703;  386,849;33,99507
 199,14;  263,737;  222,781;  387,587;24,85101
