
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  212,078;  202,783;  223,076;45,80461
 176,32;  241,841;  235,325;  233,183; 0,00000
 176,92;  261,276;  268,169;  269,200;-668,08802
 177,52;  261,908;  268,091;  262,076; 0,00000
 178,12;  235,756;  257,324;  243,700; 0,00000
 178,72;  269,387;  265,095;  258,217; 0,00000
 179,32;  262,052;  268,863;  252,136; 0,00000
 179,92;  265,453;  265,631;  267,970;-7,59682
 180,52;  255,752;  242,858;  269,559;48,28745
 181,12;  268,628;  264,246;  270,140;74,33466
 181,73;  287,442;  278,015;  276,393; 0,00000
 182,33;  373,127;  376,706;  385,901;-38,91845
 182,93;  278,135;  282,630;  284,119;-301,84035
 183,53;  246,747;  252,787;  239,042; 0,00000
 184,13;  244,634;  254,095;  245,230; 0,00000
 184,73;  288,941;  287,018;  290,658;52,83994
 185,33;  277,341;  245,652;  366,512;26,21997
 185,93;  288,862;  240,884;  362,674;39,39349
 186,53;  305,089;  262,499;  382,538;35,48069
 187,13;  332,970;  282,650;  413,897;38,33965
 187,73;  294,449;  248,500;  374,807;36,37912
 188,33;  302,833;  249,501;  377,832;41,55793
 188,93;  306,304;  266,120;  368,764;39,14844
 189,53;  300,152;  262,277;  393,555;28,85084
 190,13;  353,205;  296,435;  419,072;46,29073
 190,73;  298,656;  227,586;  359,537;53,86105
 191,34;  332,388;  271,352;  391,243;50,90955
 191,94;  276,265;  246,733;  373,358;23,32249
 192,54;  302,368;  264,572;  390,298;30,06210
 193,14;  311,852;  262,112;  410,063;33,61922
 193,74;  302,216;  267,728;  401,768;25,72977
 194,34;  296,018;  265,958;  394,183;23,44376
 194,94;  250,540;  225,420;  368,414;17,56757
 195,54;  244,697;  199,036;  342,674;31,78915
 196,14;  270,529;  234,957;  373,055;25,75847
 196,74;  258,839;  238,575;  362,324;16,37488
 197,34;  243,514;  200,263;  355,217;27,91184
 197,94;  280,553;  232,342;  391,563;30,27883
 198,54;  284,278;  239,265;  407,700;26,72429
 199,14;  259,033;  217,032;  395,974;23,47178
