
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,428;  197,081;  203,819;183,24309
 176,32;  239,113;  234,611;  221,840; 0,00000
 176,92;  258,489;  260,463;  248,366; 0,00000
 177,52;  269,194;  252,849;  264,548;139,70478
 178,12;  236,593;  235,765;  234,842; 0,00000
 178,72;  263,120;  256,148;  251,111; 0,00000
 179,32;  257,097;  250,688;  248,021; 0,00000
 179,92;  259,304;  249,153;  249,941; 0,00000
 180,52;  241,265;  239,086;  237,936; 0,00000
 181,12;  265,542;  250,307;  255,232;309,37011
 181,73;  272,320;  265,846;  270,384;142,66389
 182,33;  378,884;  341,851;  340,937; 0,00000
 182,93;  272,131;  264,541;  271,352;111,43876
 183,53;  243,828;  245,377;  228,843; 0,00000
 184,13;  252,688;  241,763;  221,425; 0,00000
 184,73;  282,416;  278,530;  272,227; 0,00000
 185,33;  284,343;  246,710;  345,523;38,08482
 185,93;  278,564;  241,935;  357,625;31,66157
 186,53;  290,910;  249,477;  374,956;33,01974
 187,13;  328,633;  273,407;  407,180;41,28335
 187,73;  281,866;  238,013;  363,666;34,90058
 188,33;  283,535;  232,548;  366,445;38,07916
 188,93;  288,362;  248,383;  371,966;32,34963
 189,53;  288,634;  251,067;  382,841;28,50850
 190,13;  337,676;  280,438;  398,909;48,31406
 190,73;  273,414;  222,832;  350,893;39,49855
 191,34;  310,694;  255,457;  386,677;42,09529
 191,94;  278,985;  239,237;  361,243;32,57863
 192,54;  301,443;  248,950;  397,013;35,45326
 193,14;  304,379;  258,021;  384,916;36,53246
 193,74;  304,920;  262,482;  381,845;35,55359
 194,34;  303,320;  251,023;  400,067;35,08803
 194,94;  257,009;  217,483;  351,489;29,49555
 195,54;  243,885;  203,865;  336,245;30,23121
 196,14;  269,305;  233,024;  358,658;28,87844
 196,74;  261,098;  222,478;  349,094;30,50160
 197,34;  254,521;  193,490;  345,653;40,10937
 197,94;  281,881;  221,099;  378,090;38,71671
 198,54;  284,443;  234,947;  384,917;33,00419
 199,14;  252,855;  217,954;  383,418;21,09310
