
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,409;  213,276;  215,752;-115,78362
 176,32;  235,431;  242,397;  229,362; 0,00000
 176,92;  280,640;  264,804;  283,611;84,20284
 177,52;  265,171;  265,039;  274,468; 1,39296
 178,12;  249,497;  241,398;  239,691; 0,00000
 178,72;  274,781;  277,774;  263,443; 0,00000
 179,32;  258,880;  272,474;  263,158; 0,00000
 179,92;  268,165;  261,717;  269,111;87,21469
 180,52;  254,290;  247,140;  265,970;37,97257
 181,12;  267,425;  282,027;  272,743; 0,00000
 181,73;  281,749;  282,722;  285,553;-34,39996
 182,33;  380,708;  381,587;  386,073;-19,59200
 182,93;  282,580;  277,654;  278,726;459,70982
 183,53;  240,069;  253,846;  235,487; 0,00000
 184,13;  256,203;  251,620;  240,367; 0,00000
 184,73;  296,218;  287,457;  288,810;647,78319
 185,33;  284,487;  248,112;  359,269;32,72435
 185,93;  294,355;  249,858;  381,869;33,70705
 186,53;  309,627;  270,178;  383,387;34,84656
 187,13;  321,275;  281,818;  425,215;27,51542
 187,73;  301,346;  256,015;  395,652;32,46378
 188,33;  303,945;  250,309;  366,547;46,14333
 188,93;  318,943;  259,729;  383,754;47,74352
 189,53;  308,146;  252,697;  394,002;39,24062
 190,13;  350,759;  288,568;  428,376;44,48337
 190,73;  296,715;  238,834;  371,423;43,65400
 191,34;  323,492;  273,025;  415,133;35,51325
 191,94;  288,504;  247,988;  388,060;28,92535
 192,54;  315,709;  252,068;  415,248;39,00031
 193,14;  322,233;  277,354;  411,378;33,48566
 193,74;  307,574;  273,273;  417,856;23,72377
 194,34;  321,112;  266,899;  406,306;38,88873
 194,94;  264,874;  234,200;  362,021;23,99725
 195,54;  251,309;  219,959;  344,470;25,17865
 196,14;  275,504;  241,750;  377,593;24,84752
 196,74;  273,353;  242,184;  368,465;24,68227
 197,34;  256,882;  204,843;  373,740;30,81146
 197,94;  270,660;  237,665;  401,828;20,09888
 198,54;  304,491;  250,904;  418,003;32,06880
 199,14;  253,855;  226,774;  408,708;14,88481
