
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  206,287;  213,276;  215,752;-282,26337
 176,32;  239,985;  242,397;  229,362; 0,00000
 176,92;  266,216;  264,804;  283,611; 7,50472
 177,52;  269,354;  265,039;  274,468;45,76765
 178,12;  231,222;  241,398;  239,691; 0,00000
 178,72;  265,058;  277,774;  263,443; 0,00000
 179,32;  257,886;  272,474;  263,158; 0,00000
 179,92;  269,277;  261,717;  269,111;102,25340
 180,52;  251,540;  247,140;  265,970;23,36619
 181,12;  260,093;  282,027;  272,743; 0,00000
 181,73;  291,708;  282,722;  285,553;317,45517
 182,33;  385,142;  381,587;  386,073;79,24644
 182,93;  281,268;  277,654;  278,726;337,26939
 183,53;  244,132;  253,846;  235,487; 0,00000
 184,13;  250,840;  251,620;  240,367; 0,00000
 184,73;  292,818;  287,457;  288,810;396,39209
 185,33;  274,663;  248,112;  359,269;23,88626
 185,93;  293,764;  249,858;  381,869;33,25955
 186,53;  307,749;  270,178;  383,387;33,18750
 187,13;  321,146;  281,818;  425,215;27,42599
 187,73;  293,081;  256,015;  395,652;26,54477
 188,33;  294,933;  250,309;  366,547;38,39021
 188,93;  309,083;  259,729;  383,754;39,79340
 189,53;  318,953;  252,697;  394,002;46,88858
 190,13;  351,801;  288,568;  428,376;45,22846
 190,73;  291,423;  238,834;  371,423;39,66330
 191,34;  326,953;  273,025;  415,133;37,94911
 191,94;  293,053;  247,988;  388,060;32,17264
 192,54;  303,679;  252,068;  415,248;31,62839
 193,14;  303,540;  277,354;  411,378;19,53816
 193,74;  302,008;  273,273;  417,856;19,87418
 194,34;  310,079;  266,899;  406,306;30,97420
 194,94;  261,300;  234,200;  362,021;21,20161
 195,54;  251,494;  219,959;  344,470;25,32696
 196,14;  271,651;  241,750;  377,593;22,01150
 196,74;  262,648;  242,184;  368,465;16,20465
 197,34;  246,427;  204,843;  373,740;24,62104
 197,94;  268,353;  237,665;  401,828;18,69323
 198,54;  293,245;  250,904;  418,003;25,33885
 199,14;  263,966;  226,774;  408,708;20,44222
