
Integration time [ms]: 140,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,177;  197,081;  203,819;179,51828
 176,32;  234,852;  234,611;  221,840; 0,00000
 176,92;  260,857;  260,463;  248,366; 0,00000
 177,52;  258,931;  252,849;  264,548;51,98537
 178,12;  232,689;  235,765;  234,842; 0,00000
 178,72;  260,577;  256,148;  251,111; 0,00000
 179,32;  252,532;  250,688;  248,021; 0,00000
 179,92;  255,678;  249,153;  249,941; 0,00000
 180,52;  247,924;  239,086;  237,936; 0,00000
 181,12;  260,402;  250,307;  255,232;204,98204
 181,73;  278,421;  265,846;  270,384;277,12655
 182,33;  360,326;  341,851;  340,937; 0,00000
 182,93;  275,263;  264,541;  271,352;157,42956
 183,53;  249,475;  245,377;  228,843; 0,00000
 184,13;  251,461;  241,763;  221,425; 0,00000
 184,73;  278,927;  278,530;  272,227; 0,00000
 185,33;  278,584;  246,710;  345,523;32,25702
 185,93;  292,809;  241,935;  357,625;43,97439
 186,53;  303,634;  249,477;  374,956;43,16054
 187,13;  322,158;  273,407;  407,180;36,44343
 187,73;  290,727;  238,013;  363,666;41,95229
 188,33;  295,080;  232,548;  366,445;46,70150
 188,93;  309,644;  248,383;  371,966;49,57045
 189,53;  308,501;  251,067;  382,841;43,58504
 190,13;  348,129;  280,438;  398,909;57,13759
 190,73;  289,358;  222,832;  350,893;51,94822
 191,34;  325,255;  255,457;  386,677;53,19168
 191,94;  291,545;  239,237;  361,243;42,87380
 192,54;  306,537;  248,950;  397,013;38,89385
 193,14;  312,960;  258,021;  384,916;43,29450
 193,74;  320,834;  262,482;  381,845;48,88601
 194,34;  313,615;  251,023;  400,067;41,99561
 194,94;  274,907;  217,483;  351,489;42,85232
 195,54;  248,485;  203,865;  336,245;33,70584
 196,14;  273,321;  233,024;  358,658;32,07448
 196,74;  283,445;  222,478;  349,094;48,15071
 197,34;  262,410;  193,490;  345,653;45,29358
 197,94;  297,006;  221,099;  378,090;48,35107
 198,54;  297,692;  234,947;  384,917;41,83846
 199,14;  269,931;  217,954;  383,418;31,41308
